店舗名,電話番号,メールアドレス,都道府県,市町村区,番地,建物名,HPのURL,SSL証明書
モリちゃん 御茶ノ水店,050-5869-5561, ,東京都,千代田区神田小川町3-10-11,3ー10ー11,, , 
もんごろーや,050-5597-7433, ,東京都,渋谷区渋谷1-24-2,1ー24ー2,朱ビル　４Ｆ, , 
焼肉 強小亭 銀座,050-5595-2475, ,東京都,中央区銀座7-12-4,7ー12ー4,友野本社ビル 1F,https://kyoshotei-ginza.com/,True
七輪焼肉 安安 武蔵境店 ,050-5457-4456, ,東京都,武蔵野市境1-3-2,1ー3ー2,平田ビル, , 
肉の匠 将泰庵 新日本橋店,050-5590-9908, ,東京都,千代田区鍛治町1-9-19,1ー9ー19,GEMS神田8階,http://shoutaian-shinnihonbashi.com,False
創作鉄板 粉者東京,050-5593-9219, ,東京都,墨田区江東橋3-1-10,3ー1ー10,横井ビル 1F, , 
ミートバル 肉たらし,050-5590-4623, ,東京都,渋谷区代々木1-34-3,1ー34ー3,第17菊池ビル 1F,http://nikutarashi.jp/,False
銀座 ちかみつ 六丁目,050-5890-4723, ,東京都,中央区銀座6-13-16,6ー13ー16,ヒューリック銀座ウォールビル 1F, , 
絵のある街 上野店,050-5594-5365, ,東京都,台東区上野6-13-9,6ー13ー9,新都乃田ビル　５Ｆ, , 
春川タックカルビ,050-5868-6307, ,東京都,新宿区河田町4-8,4ー8,, , 
銀座 山科,050-5456-2067, ,東京都,中央区銀座6-4-3,6ー4ー3,GICROS GINZA GEMS 7F, , 
焼肉白炭,050-5595-3853, ,東京都,港区六本木7-18-6,7ー18ー6,六本木グランドール 1F, , 
明洞,050-5457-7455, ,東京都,葛飾区亀有3-20-13,3ー20ー13,はやしやビル 2F, , 
恵比寿焼肉　kintan,050-5869-6606, ,東京都,渋谷区恵比寿西1-10-3,1ー10ー3,トラストリンク恵比寿ビル 1F～2F,https://kintan.restaurant/shop/ebisu-yakiniku/,True
ホルモン焼肉 縁 赤羽店,050-5589-8685, ,東京都,北区赤羽1-12-7,1ー12ー7,,http://www.ensyouji.co.jp,False
味道苑 池袋店,050-5868-7735, ,東京都,豊島区池袋2-35-1,2ー35ー1,中尾ビル 1F,http://midouen.com/,False
ジンギスカン霧島 新橋店,050-5596-7993, ,東京都,港区新橋3-13-4,3ー13ー4,eatus新橋 5F, , 
黒毛和牛一頭買い焼肉gyummy,050-5868-4614, ,東京都,立川市柴崎町3-10-5,3ー10ー5,FMビルB1,http://www.gyummy.com/,False
